Title,Company,Description,Salary,Deadline,Locations,Mode,Type,Gender,Experience,Field_Of_Interests,Source
Data Scientist,Herbion Private Limited,"Job Summary: Seeking a skilled and motivated Data Scientist to join the Supply Chain Planning Department. Responsible for analyzing large datasets, developing predictive models, and optimizing supply chain processes. Collaborate with cross-functional teams to improve demand forecasting, inventory management, and overall supply chain efficiency. Strong data analysis, statistical modeling, and machine learning skills required. Job Type: Full-time Salary: Rs60,000.00 - Rs80,000.00 per month Ability to commute/relocate: Application Deadline: 30/06/2023 ","Rs 60,000 - Rs 80,000 a month",,Karachi,,Full-time,,,,https://pk.indeed.com/company/Herbion-Private-Limited/jobs/Data-Scientist-106e278642a62472?fccid=e0f302613bccfc6e&vjs=3
Freelance Information Technology. (Part Time),Men's Wear Brand,"WE’RE HIRING Freelance Information Technology. (Part Time) As an IT professional you are generally involves managing and storing data using computers, software, databases, networks, and servers. you may write programs, maintain networks, analyze systems, and provide technical support. Requirements: Education: Bachelor’s Degree or equivalent experience in Computer Science, Information Technology, related field. Experience: 3-5 Years IT End User Support / Helpdesk experience Location: Korangi Industrial Area Karachi. Email: goodjobs2022@gmail.com Job Type: Part-timePart-time hours: 24 per week Salary: Rs30,000.00 - Rs35,000.00 per month Ability to Commute: Ability to Relocate: ","Rs 30,000 - Rs 35,000 a month",,Karachi,,Part-time,,,,https://pk.indeed.com/company/men's-Wear-brand/jobs/Information-Technology-Specialist-0f7e52e1eff13a9a?fccid=f1275561bd117566&vjs=3
Data Analyst,The Dynamics Research Consultants,"Key Responsibilities: Qualification Job Type: Full-time Salary: Rs50,000.00 - Rs80,000.00 per month Experience: ","Rs 50,000 - Rs 80,000 a month",,Karachi,,Full-time,,,,https://pk.indeed.com/company/The-Dynamics-Research-Consultants/jobs/Data-Analyst-74b4f8c3b2656b44?fccid=286c9205ee35635f&vjs=3
IT Support,GENOZONE INTERNATIONAL,"looking for Male IT IT Duties and Responsibilities Requirements Timing 6:PM to 3:AM evening Job Types: Part-time, Full-time Salary: Rs25,000.00 - Rs30,000.00 per month Ability to commute/relocate: ","Rs 25,000 - Rs 30,000 a month",,Karachi,,Full-time,,,,https://pk.indeed.com/company/GENOZONE-INTERNATIONAL/jobs/IT-Support-0e0c53947073ef19?fccid=55eb279eb7303228&vjs=3
Operation/Data Analyst,Pixel Media & Production House,"Job Location: Brookes Chowrangi (Godaam Chowrangi), Korangi Industrial Area Job Type: On-Site Salary : 40k to 45k Job Description: We are looking for a strong candidate that forms a key part of our Data team, enabling us in achieving the business goals. The candidate can also carry out all tasks related to Data & Business Intelligence & ML. Operations Analyst will be responsible for analyzing and interpreting large amounts of data. You will commonly work with a variety of different types of data, including customer care, sales, Operations, supply chain etc. Job Responsibilities: A Operations Analyst typically has a wide range of responsibilities, which can include: Requirement: What you get in return: As a team member, you’ll work in a fast-paced corporate environment and make an impact on our business, contributing to the success of our company. Through on-the-job training and learning opportunities, you will develop valuable skills for the future. Job Type: Full-time Salary: Rs40,000.00 - Rs45,000.00 per month Ability to commute/relocate: Application Question(s): Education: ","Rs 40,000 - Rs 45,000 a month",,Karachi,,Full-time,,,,https://pk.indeed.com/company/Pixel-Media-&-Production-House/jobs/Operation-Analyst-8fa11e3fb04e9eba?fccid=5cba13920270c6de&vjs=3
Data Analyst,BSD Technologies (Pvt.) Ltd.,We are looking for a passionate Data Analyst. Responsibilities Requirements and skills Job Type: Full-time Ability to commute/relocate: ,Full-time,,Karachi,,,,,,https://pk.indeed.com/company/BSD-Technologies-(Pvt.)-Ltd./jobs/Data-Analyst-3625901929f8f9b2?fccid=cd200984c071ad3c&vjs=3
Data Analyst,Garments company,"We are seeking a talented “Data Analyst” to join Apparel Brand to drive analyzing, reporting, and growth. The ideal candidate will be passionate about the Brands Industry. Responsibilities: Analytical/Data Skills: Qualifications: Gender: Male (Preferred) Location: I.I Chundrigar Road Karachi. Salary: Rs. 75K to 125K Interested candidates may send their resumes to hrgoodjob2023@gmail.com Only shortlisted candidate will be called for interview Job Type: Full-time Salary: Rs75,000.00 - Rs125,000.00 per month Ability to Commute: Ability to Relocate: ","Rs 75,000 - Rs 125,000 a month",,Karachi,,Full-time,,,,https://pk.indeed.com/company/Garments-company/jobs/Data-Analyst-a22be4026410c266?fccid=b88385167651d99d&vjs=3
Data Engineer,Dolphin Analytics,"Job description Requirements Technical expertise in data models, database design development, and data miningCreating integrated data pipelines and APIsExperience building reporting/data visualizationsSolid knowledge of SQL and Data WarehousingExperience in Python Scraping Qualifications 1 year to 3 years experience in a Data Science roleBachelor in Computer Science/ Computer Engineering or MathematicsExcellent verbal and written communication skills (Toastmasters will be given preference) Job Types: Full-time, ContractContract length: 12 months Salary: Rs50,000.00 - Rs130,000.00 per month Ability to commute/relocate: Education: ","Rs 50,000 - Rs 130,000 a month",,Karachi,,Full-time,,,,https://pk.indeed.com/company/Dolphin-Analytics/jobs/Data-Engineer-df7f6d2ca3d3b395?fccid=30f6977b88751560&vjs=3
Data Analyst,Cooperative Computing,"Cooperative Computing (CC):  We accelerate growth minded companies into the automated economy. The business market is in rapid change, with consumer behavior placing significantly high expectations on businesses at every phase in the client experience.  Each day, we experience a company dramatically shifting “industry norms” and in many cases, removing historical market leaders from their market leading position.  These elements create extraordinary opportunities for our team members to excel. CC delivers superior client experiences as the premier digital enabler of growth minded enterprises enabling their rapid growth and ensuring their sustainable and smooth transition into the Automated Economy. Our team is passionate in delivering client value and is fanatical in how we go about ensuring we deliver extraordinary business results for our clients.  We are committed to growing as individuals first, becoming the best version of ourselves in who we have been created to be.  We take responsibility in our thoughts and actions, know our purpose and our end in mind and put these first in our lives. The Role: To advance our mission of inspiring greatness and transforming the lives of others, our Data Analyst will play a key role in collecting, analyzing, and interpreting data to provide valuable insights that drive informed business decisions. Your responsibilities will include data collection, cleaning, analysis, visualization, and reporting. You will work with various data sources, tools, and databases to ensure accurate and reliable data. Your ability to identify patterns, create visualizations, and effectively communicate findings to stakeholders will contribute to data-driven decision-making within the organization. Capabilities (Key Behaviors): The Data Analyst is expected to have: Results: By leveraging these capabilities, the Data Analyst will aim to achieve: Job Type: Full-time Experience: Application Deadline: 29/09/2023 ",Full-time,,Karachi,,,,,,https://pk.indeed.com/company/Cooperative-Computing/jobs/Data-Analyst-9cb24f4bb1c38cae?fccid=73bb982b24572c1f&vjs=3
Excel Expert,PTN,"Key Responsibilities: Education: Experience: Skills: Job Type: Full-time Salary: From Rs50,000.00 per month Ability to commute/relocate: ","Rs 50,000 a month",,Karachi,,Full-time,,,,https://pk.indeed.com/company/PTN/jobs/Excel-Expert-d925e5b8008dd08e?fccid=8c0dde8374620ef3&vjs=3
