words,embeddings
2 girls 1 cup,"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0.])"
4r5e,"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0.])"
anal,"tensor([ 0.1597,  0.7018, -0.2242,  0.1608, -0.5258,  0.1930, -0.2755,  0.9284,
         0.6741, -0.1425, -0.0374, -0.3360,  0.2496,  0.6725,  1.4466, -0.6943,
        -0.7157, -0.0194,  0.7317, -0.3109,  0.4471, -0.6514, -1.0057,  0.2405,
         0.4171,  1.0653,  0.7326, -0.3313,  0.4091,  0.5491,  0.5739, -0.3694,
         0.7519,  0.1058,  0.9718, -0.4030, -0.1120,  0.5647,  0.2521,  0.8553,
         0.7078, -0.4139, -0.5478, -0.9899, -0.3304,  0.2140,  0.5493, -0.7651,
        -0.0469,  0.6245, -0.2706,  0.8370, -1.0486,  0.0969, -0.5137, -0.5405,
         0.5892, -0.6566,  0.1445,  0.9610, -0.7442,  0.2990,  0.8640, -0.3179,
         0.5222, -0.3255,  0.8905, -0.7731,  0.3347, -0.3328,  0.2122,  0.3210,
         1.5262,  0.1243, -1.1231, -0.9823, -1.4200, -0.1189,  0.2366, -0.2973,
        -0.5125,  0.2777,  0.5378,  1.0842, -0.8153, -1.0993,  0.3546,  0.6888,
         0.4561, -0.0828, -0.1131,  0.4958, -0.4584, -0.2464,  1.7390, -0.0649,
        -1.5144, -0.0837, -0.3201, -0.6700])"
anus,"tensor([ 0.4107, -0.7738,  0.2649,  0.2014, -0.3539,  1.0109, -0.2609,  0.3929,
         1.1840,  0.0928,  0.0074,  0.5007,  0.3627,  0.4895,  1.1091, -0.2573,
        -0.8712,  0.5250,  0.0736, -0.8742, -0.2040,  0.2889, -0.4732,  0.4960,
         0.7863,  0.6012,  0.0117, -0.0852,  0.1452,  0.3098, -0.1519,  0.2392,
         0.4099,  0.0347,  0.3810, -0.0579,  0.3578, -0.1104, -0.1989, -0.0277,
         0.8179,  0.1103, -0.1992, -0.0026, -0.3913,  0.8295, -0.1690,  0.0528,
        -0.4863,  0.6114, -0.2320,  0.6024, -0.2185,  0.0622, -0.8825,  0.3438,
        -0.3548, -1.0598, -0.7149,  0.0762,  0.0770,  0.4867,  0.3864,  0.4959,
         0.3736, -0.1548,  0.3935, -0.6859,  0.1260, -0.8698, -0.2162,  0.3932,
         1.0082, -0.4148,  0.6580, -0.9806, -0.6851,  0.2721, -0.1129,  0.0723,
        -0.7173,  0.6109, -0.1365,  0.0102, -0.5838, -0.1042,  0.3523,  1.1732,
         1.0041,  0.0357,  0.3575,  0.7209,  0.5832,  0.5545,  0.6620,  0.0876,
        -0.5769, -0.0633,  0.1610, -0.1408])"
areole,"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0.])"
arian,"tensor([ 0.1495, -0.1628, -0.5621, -0.9119, -0.0400,  0.2772,  0.8372, -1.6809,
         0.0467,  0.4692,  0.3343,  0.2946, -0.0791,  0.6207,  0.6869, -0.4854,
        -0.7203, -0.5541, -0.6652,  0.3500, -0.6079,  0.0882, -0.0291,  0.2681,
        -0.2866, -0.3794,  0.1245, -0.7823, -1.2000,  0.4167,  0.1428,  0.0027,
         0.0674,  0.8890, -0.6133, -0.1428, -0.0987,  0.4023, -0.0312, -0.2146,
        -1.0130,  0.1072, -0.1676,  0.1779, -0.2117, -0.4690,  0.2728,  0.0554,
         0.6740,  0.1266, -0.7985,  0.0381,  0.4268, -0.3514, -0.9562,  0.2138,
         0.2084, -0.6860, -0.2778,  0.4229,  0.0064, -0.3882,  0.5869, -0.8161,
        -0.0913, -0.2774,  1.3364,  0.8058, -1.5107,  0.4033,  0.5261, -0.0918,
         0.2174, -0.6857, -0.7387,  0.1480, -0.4885, -0.7234,  0.3903,  0.8626,
         0.1334, -0.1041,  0.1734,  0.1818, -0.3147,  0.4173,  0.2231,  0.3588,
         0.8742,  0.1676, -0.1511,  0.0720, -0.1397,  0.2976,  0.7594, -0.5103,
         0.2331, -0.5571,  0.3424, -1.0077])"
arrse,"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0.])"
arse,"tensor([ 0.2334,  0.1443,  0.0915, -0.6020, -0.5742,  0.4852, -0.2173, -0.0117,
         0.0800,  0.0711,  0.3941,  0.3746, -0.1355,  0.4786,  0.1428,  0.3727,
        -0.4776,  0.2060,  0.2704, -0.2359,  0.2191,  0.7243, -0.7769, -0.1214,
         0.1192,  0.9671, -0.0560,  0.3724,  0.4614, -0.0674, -0.0619, -0.2553,
         0.6098,  0.4551, -0.5238,  0.1576, -0.5989,  0.5346, -0.1497, -0.4901,
         0.1558,  0.3381, -0.1594, -0.4956, -0.2568,  0.1519, -0.3603,  0.6804,
         0.2264,  0.0017, -0.6202, -0.2655, -0.3881,  0.2538, -0.4206,  0.3018,
         0.1726, -0.3925,  0.1762, -0.5908,  0.7056,  0.1488, -0.3410,  0.1369,
         0.0213, -0.0823, -0.3706, -0.5803, -0.0148, -0.3687,  0.6319,  0.6316,
         0.8383, -0.6552, -0.5114,  0.3465, -0.5067,  0.9983,  0.7753,  0.1977,
        -0.7247,  0.1097,  0.2584,  0.1597,  0.3257, -0.2097,  0.0515, -0.0781,
        -0.3607, -0.0761, -0.8341,  0.4297,  0.6863,  0.3570,  0.9243, -0.4612,
         0.7467,  0.4786,  0.0872,  0.5014])"
arsehole,"tensor([ 0.1284,  0.0687, -0.1659,  0.1456, -0.4208, -0.1842,  0.3275, -0.2060,
         0.4379,  0.3312, -0.3314,  0.3182, -0.1177, -0.4171, -0.1422,  0.2432,
        -0.1066,  0.4760,  0.1498,  0.4110,  0.1763,  0.2515, -0.8281, -0.4083,
         0.3068,  0.2941,  0.0101,  0.4349,  0.2217,  0.0678,  0.3463, -0.3330,
         0.1371, -0.3432,  0.1242, -0.1109, -0.2979, -0.0573,  0.3041, -0.2151,
         0.1100,  0.6169, -0.0458,  0.0639, -0.0591, -0.1545, -0.1276,  0.4618,
         0.0643,  0.1519, -0.1647,  0.1537,  0.1078, -0.3302,  0.0270,  0.4440,
         0.3335,  0.0991, -0.5279, -0.2513,  0.0257, -0.3448, -0.3372, -0.2431,
        -0.0775, -0.4144, -0.3952, -0.4647, -0.0912, -0.1626,  0.0416,  0.0991,
         0.5056,  0.3247, -0.0272,  0.1106, -0.2153,  0.4288,  0.2393, -0.2006,
        -0.2703, -0.1165,  0.3939, -0.1253,  0.6002, -0.0776,  0.0203,  0.1788,
        -0.2602,  0.1216, -0.2644,  0.1853,  0.5268, -0.0400,  0.8216, -0.2880,
         0.0366,  0.3002, -0.7627,  0.0582])"
aryan,"tensor([ 0.9230, -0.0063,  0.4408, -0.4121, -0.3931,  0.1027,  0.5070, -0.3754,
        -0.7421,  1.3260, -0.6050, -0.3691, -0.2056,  0.1231, -0.0076,  0.4963,
         0.3995, -0.3205, -0.5245, -0.5873, -0.0679, -0.0981, -0.3559, -0.3119,
         0.0826, -0.2812, -0.0392, -0.5174,  0.2515, -0.2259,  0.4888, -0.5042,
        -0.6960, -0.1846,  0.8884,  0.1981,  0.4936,  0.6308,  0.7221,  0.7846,
        -1.3853,  0.1736,  0.0131,  0.1933, -0.1745, -0.1075,  0.1015,  0.5661,
        -0.3331,  0.4505, -0.8481, -0.0041,  0.9270, -0.1492, -0.6043, -0.0264,
        -0.0473,  0.4277,  0.1862,  0.1165,  0.1297, -0.3061, -0.0034, -0.2930,
         0.6727,  0.5319,  0.6962,  0.0117,  0.5019, -0.2476,  0.0851, -0.4273,
        -0.2682, -0.7449, -0.2529,  0.5611,  0.0626, -1.1133, -0.3863,  0.3282,
        -0.7175,  0.2344,  0.0793,  0.3995,  0.1976,  0.4116, -0.0708, -0.1354,
         0.5470,  0.2729, -0.9280, -0.6613,  0.3939,  0.3810,  0.6275, -1.1919,
        -0.2920, -0.3552, -0.9416,  0.2898])"
